שנת לימודים,שם מחוז,שם רשות,סמל מוסד,שם מוסד,חמשון טיפוח,סטטוס מוסד,סוג חינוך מוסד,שלבי חינוך במוסד,מגזר,סוג פיקוח,מעמד משפטי, שעות הוראה,עלות  שעות הוראה,שעות פרטניות, שעות שהיה,שעות הדרכה,עלות תיקצוב שעות הדרכה,שעות איחוד משכורת , עלות תיקצוב שעות איחוד משכורת ,"שעות בודדות -חנ""מ - חופשות","עלות שעות בודדות -חנ""מ - חופשות","שכ""ל",גני ילדים,שירותי היקף,תקציב הסעות ,פרויקטים והעברות לרשויות מקומיות ובעלויות,שעות רשת חינוך עצמאי ומעיין חינוך תורני , עלות שעות רשת חינוך עצמאי ומעיין חינוך תורני ,שעות מוסדות פטור,עלות שעות מוסדות פטור,שירותי עזר - מוסדות פטור,מספר תלמידים בפועל חינוך רגיל,מספר תלמידים בפועל חינוך מיוחד, מס' כיתות  חינוך רגיל, מס' כיתות  חינוך מיוחד,"סה""כ תקציב שכר ותשלומים",הערות
,,,,,,,,,,,,"1,893,821","15,656,258,336","316,030","413,920",0,0,"93,068","615,998,444","894,781","125,645,148","8,708,677,020",0,"2,289,061,350","12,149,713","2,315,164,003","240,080","1,438,074,176","45,586","187,224,178","27,131,502","1,626,778","67,243","58,310.5","7,841.0","31,375,383,870",
תשעו,דרום,תמר,611202,"יסודי ע""ש יואב גבעתי",חלש - בינוני,פעיל,רגיל,יסודי בלבד,יהודי,ממלכתי,רשמי,255,"1,914,985",35,36,0,0,0,0,0,0,0,0,"85,541",0,"22,971",0,0,0,0,0,93,0,3.5,0.0,"2,023,496", 
תשעו,דרום,תמר,771105,מקיף עין גדי,חלש - בינוני,פעיל,רגיל,"חט""ב ועליונה",יהודי,ממלכתי,רשמי,210,"1,865,417",36,78,0,0,19,"127,867",0,0,"4,225,471",0,"483,444",0,"185,419",0,0,0,0,0,186,29,9.0,4.0,"6,887,618", 
תשעו,דרום,תל שבע,610568,יסודי חדש שכו 1, ,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,544,"4,245,160",96,84,0,0,0,0,0,0,0,0,"352,373",0,"47,648",0,0,0,0,0,311,0,11.0,0.0,"4,645,181", 
תשעו,דרום,תל שבע,618140,ג'ובראן,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,067","8,389,302",189,175,0,0,0,0,0,0,0,0,"781,374",0,"264,093",0,0,0,0,0,541,11,21.0,1.0,"9,434,769", 
תשעו,דרום,תל שבע,618223,אבו בכר א',חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,021","8,044,010",182,168,0,0,0,0,0,0,0,0,"772,135",0,"266,545",0,0,0,0,0,513,11,20.0,1.0,"9,082,690", 
תשעו,דרום,תל שבע,618413,אבו בכר ב',חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,028","8,025,852",180,159,0,0,0,0,0,0,0,0,"734,641",0,"347,026",0,0,0,0,0,555,13,20.0,1.0,"9,107,519", 
תשעו,דרום,תל שבע,618421,אלרסאלה,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,063","8,441,663",218,199,0,0,0,0,0,0,0,0,"792,054",0,"280,029",0,0,0,0,0,517,13,18.0,1.0,"9,513,747", 
תשעו,דרום,תל שבע,618470,אלאנדלוס,חלש,פעיל,רגיל,יסודי בלבד,בדואי,ממלכתי,רשמי,"1,538","12,071,399",270,254,0,0,0,0,"1,058","148,564",0,0,"1,516,772",0,"328,595",0,0,0,0,0,796,24,27.0,4.0,"14,065,330", 
תשעו,דרום,תל שבע,627042,יסודי ב' חינוך מיוחד, ,פעיל,מיוחד,יסודי ועליונה,בדואי,ממלכתי,רשמי,526,"4,644,260",86,115,0,0,0,0,"3,740","525,171",0,0,"1,269,065",0,"322,150",0,0,0,0,0,0,64,0.0,10.0,"6,760,647", 
